Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,2,,61,FrRnd,21,Giants,N,Jose Prado (minors),RHP,,,,,,,,,,,,,HS,Coral Gables HS (Coral Gables FL)
1990,2,,63,FrRnd,23,Cubs,Y,Ryan Hawblitzel (minors),RHP,-0.1,8,1,0,0,0,8,0,1,6,1.6,0,HS,John I. Leonard HS (Greenacres FL)
1990,2,,64,FrRnd,24,Angels,Y,Phil Leftwich (minors),RHP,2.5,34,0,0,,,34,9,17,4.99,1.45,0,4Yr,Radford University (Radford VA)
1990,2s,,67,FrRnd,27,White Sox,N,*Eric Maloney (minors),RHP,,,,,,,,,,,,,HS,Carmel HS (Mundelein IL)
1990,2s,,69,FrRnd,29,Orioles,Y,*Jeff Williams (minors),RHP,,,,,,,,,,,,,4Yr,Wichita State University (Wichita KS)
1990,2s,,70,FrRnd,30,Giants,Y,*Joe Rosselli (minors),LHP,-1,9,10,0,0.2,0.4,9,2,1,8.7,1.97,0,HS,Bishop Alemany HS (Mission Hills CA)
1990,2s,,72,FrRnd,32,Cubs,Y,*Troy Bradford (minors),RHP,,,,,,,,,,,,,4Yr,University of Arizona (Tucson AZ)
1990,2s,,73,FrRnd,33,Dodgers,Y,*Scott Freeman (minors),RHP,,,,,,,,,,,,,4Yr,University of Wyoming (Laramie WY)
1990,3,,77,FrRnd,4,White Sox,Y,Robert Ellis (minors),RHP,-0.5,29,26,0,0.154,0.339,29,7,7,6.03,1.58,0,JC,Panola College (Carthage TX)
1990,3,,79,FrRnd,6,Mariners,Y,Dave Fleming (minors),LHP,5.3,116,0,0,,,116,38,32,4.67,1.5,0,4Yr,University of Georgia (Athens GA)
1990,3,,80,FrRnd,7,Reds,Y,Dan Tobin (minors),RHP,,,,,,,,,,,,,HS,Dowagiac Union HS (Dowagiac MI)
1990,3,,84,FrRnd,11,Expos,Y,Mike Mathile (minors),RHP,,,,,,,,,,,,,4Yr,Wright State University (Dayton OH)
1990,3,,89,FrRnd,16,Rangers,Y,Bobby Reed (minors),RHP,,,,,,,,,,,,,4Yr,Mississippi State University (Mississippi State MS)
1990,3,,94,FrRnd,21,Giants,Y,Rick Huisman (minors),RHP,0.3,29,0,0,,,29,2,1,5.31,1.49,1,4Yr,Lewis University (Romeoville IL)
1990,3,,96,FrRnd,23,Cubs,Y,Tim Parker (minors),RHP,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
1990,3,,98,FrRnd,25,Royals,Y,Shayne Rea (minors),RHP,,,,,,,,,,,,,JC,Henry Ford Community College (Dearborn MI)
